run_id,commit_sha,commit_message,status,workflow_duration,job_name,job_duration,test_count,test_failures,timestamp
27115567979,f97f206dce585bd5f09196609c02fcd9782415e4,exp(more-tests-50): cache=true extra=50 fail=false slow=false/0s parallel=True,success,25.0,Collect pipeline metrics,6.0,63,0,2026-06-08T04:13:20Z
27115557184,6a1e0ee9c5dd3bec61f8fe38c145d2e6864f6aa8,exp(failing-2): cache=true extra=10 fail=true slow=false/0s parallel=True,failure,23.0,Lint (ruff),9.0,24,1,2026-06-08T04:13:00Z
27115557184,6a1e0ee9c5dd3bec61f8fe38c145d2e6864f6aa8,exp(failing-2): cache=true extra=10 fail=true slow=false/0s parallel=True,failure,23.0,Test (pytest),10.0,24,1,2026-06-08T04:13:00Z
27115557184,6a1e0ee9c5dd3bec61f8fe38c145d2e6864f6aa8,exp(failing-2): cache=true extra=10 fail=true slow=false/0s parallel=True,failure,23.0,Collect pipeline metrics,8.0,24,1,2026-06-08T04:13:00Z
27115546164,70b7731541f7354b7cdcb84d8949391f4ed39396,exp(failing-1): cache=true extra=0 fail=true slow=false/0s parallel=True,failure,22.0,Lint (ruff),12.0,14,1,2026-06-08T04:12:41Z
27115546164,70b7731541f7354b7cdcb84d8949391f4ed39396,exp(failing-1): cache=true extra=0 fail=true slow=false/0s parallel=True,failure,22.0,Test (pytest),10.0,14,1,2026-06-08T04:12:41Z
27115546164,70b7731541f7354b7cdcb84d8949391f4ed39396,exp(failing-1): cache=true extra=0 fail=true slow=false/0s parallel=True,failure,22.0,Collect pipeline metrics,4.0,14,1,2026-06-08T04:12:41Z
27115535197,f366a4bf81a9623527f351c52fb52f71898a130c,exp(baseline-2): cache=true extra=0 fail=false slow=false/0s parallel=True,success,32.0,Test (pytest),17.0,14,0,2026-06-08T04:12:22Z
27115535197,f366a4bf81a9623527f351c52fb52f71898a130c,exp(baseline-2): cache=true extra=0 fail=false slow=false/0s parallel=True,success,32.0,Lint (ruff),10.0,14,0,2026-06-08T04:12:22Z
27115535197,f366a4bf81a9623527f351c52fb52f71898a130c,exp(baseline-2): cache=true extra=0 fail=false slow=false/0s parallel=True,success,32.0,Collect pipeline metrics,9.0,14,0,2026-06-08T04:12:22Z
27115524607,63f3a1cf7baec643ffaf91e96fc6785250e5792c,exp(baseline-1): cache=true extra=0 fail=false slow=false/0s parallel=True,success,24.0,Lint (ruff),15.0,14,0,2026-06-08T04:12:03Z
27115524607,63f3a1cf7baec643ffaf91e96fc6785250e5792c,exp(baseline-1): cache=true extra=0 fail=false slow=false/0s parallel=True,success,24.0,Test (pytest),11.0,14,0,2026-06-08T04:12:03Z
27115524607,63f3a1cf7baec643ffaf91e96fc6785250e5792c,exp(baseline-1): cache=true extra=0 fail=false slow=false/0s parallel=True,success,24.0,Collect pipeline metrics,4.0,14,0,2026-06-08T04:12:03Z
27115487508,a0dae0cadc052d0be3d28d6208ff2bb0b0642b95,"chore: projeto-alvo, pipeline CI/CD e scripts de coleta/visualização",success,20.0,Lint (ruff),11.0,14,0,2026-06-08T04:10:52Z
27115487508,a0dae0cadc052d0be3d28d6208ff2bb0b0642b95,"chore: projeto-alvo, pipeline CI/CD e scripts de coleta/visualização",success,20.0,Test (pytest),10.0,14,0,2026-06-08T04:10:52Z
27115487508,a0dae0cadc052d0be3d28d6208ff2bb0b0642b95,"chore: projeto-alvo, pipeline CI/CD e scripts de coleta/visualização",success,20.0,Collect pipeline metrics,5.0,14,0,2026-06-08T04:10:52Z
