run_id,job_name,step_name,status,step_duration
27115631119,Lint (ruff),Complete job,success,0.0
27115631119,Collect pipeline metrics,Set up job,success,0.0
27115631119,Collect pipeline metrics,Run actions/checkout@v4,success,1.0
27115631119,Collect pipeline metrics,Collect this run's job timings via GitHub API,success,0.0
27115631119,Collect pipeline metrics,Upload run metrics artifact,success,1.0
27115631119,Collect pipeline metrics,Post Run actions/checkout@v4,success,0.0
27115631119,Collect pipeline metrics,Complete job,success,0.0
27115618689,Test (pytest),Set up job,success,1.0
27115618689,Test (pytest),Run actions/checkout@v4,success,1.0
27115618689,Test (pytest),Read experiment flags,success,0.0
27115618689,Test (pytest),Run actions/setup-python@v5,success,0.0
27115618689,Test (pytest),Restore pip cache,skipped,0.0
27115618689,Test (pytest),Install dependencies,success,6.0
27115618689,Test (pytest),Run tests (pytest),success,0.0
27115618689,Test (pytest),Upload test results artifact,success,1.0
27115618689,Test (pytest),Post Run actions/setup-python@v5,success,0.0
27115618689,Test (pytest),Post Run actions/checkout@v4,success,0.0
27115618689,Test (pytest),Complete job,success,0.0
27115618689,Lint (ruff),Set up job,success,1.0
27115618689,Lint (ruff),Run actions/checkout@v4,success,1.0
27115618689,Lint (ruff),Read experiment flags,success,0.0
27115618689,Lint (ruff),Run actions/setup-python@v5,success,0.0
27115618689,Lint (ruff),Restore pip cache,skipped,0.0
27115618689,Lint (ruff),Install dependencies,success,5.0
27115618689,Lint (ruff),Run ruff (static analysis),success,0.0
27115618689,Lint (ruff),Upload lint artifact,success,1.0
27115618689,Lint (ruff),Post Run actions/setup-python@v5,success,0.0
27115618689,Lint (ruff),Post Run actions/checkout@v4,success,1.0
27115618689,Lint (ruff),Complete job,success,0.0
27115618689,Collect pipeline metrics,Set up job,success,1.0
27115618689,Collect pipeline metrics,Run actions/checkout@v4,success,1.0
27115618689,Collect pipeline metrics,Collect this run's job timings via GitHub API,success,0.0
27115618689,Collect pipeline metrics,Upload run metrics artifact,success,1.0
27115618689,Collect pipeline metrics,Post Run actions/checkout@v4,success,1.0
27115618689,Collect pipeline metrics,Complete job,success,0.0
27115608784,Lint (ruff),Set up job,success,1.0
27115608784,Lint (ruff),Run actions/checkout@v4,success,0.0
27115608784,Lint (ruff),Read experiment flags,success,1.0
27115608784,Lint (ruff),Run actions/setup-python@v5,success,0.0
27115608784,Lint (ruff),Restore pip cache,success,2.0
27115608784,Lint (ruff),Install dependencies,success,5.0
27115608784,Lint (ruff),Run ruff (static analysis),success,0.0
27115608784,Lint (ruff),Upload lint artifact,success,1.0
27115608784,Lint (ruff),Post Restore pip cache,success,0.0
27115608784,Lint (ruff),Post Run actions/setup-python@v5,success,1.0
27115608784,Lint (ruff),Post Run actions/checkout@v4,success,0.0
27115608784,Lint (ruff),Complete job,success,0.0
27115608784,Test (pytest),Set up job,success,1.0
27115608784,Test (pytest),Run actions/checkout@v4,success,1.0
27115608784,Test (pytest),Read experiment flags,success,0.0
27115608784,Test (pytest),Run actions/setup-python@v5,success,0.0
27115608784,Test (pytest),Restore pip cache,success,1.0
27115608784,Test (pytest),Install dependencies,success,5.0
27115608784,Test (pytest),Run tests (pytest),success,16.0
27115608784,Test (pytest),Upload test results artifact,success,0.0
27115608784,Test (pytest),Post Restore pip cache,success,1.0
27115608784,Test (pytest),Post Run actions/setup-python@v5,success,0.0
27115608784,Test (pytest),Post Run actions/checkout@v4,success,0.0
27115608784,Test (pytest),Complete job,success,0.0
27115608784,Collect pipeline metrics,Set up job,success,1.0
27115608784,Collect pipeline metrics,Run actions/checkout@v4,success,0.0
27115608784,Collect pipeline metrics,Collect this run's job timings via GitHub API,success,1.0
